id,age_calculated,gender,preferred_category,birthDate,age_group
1,26,Male,Action,1998-10-28,Adult
2,58,Female,Adventure,1966-11-21,Senior
3,25,Female,Puzzle,1999-10-15,Young_Adult
4,26,Female,RPG,1998-08-22,Adult
5,50,Male,Action,1975-05-20,Middle_Age
6,35,Female,Action,1989-11-20,Adult
7,54,Female,Adventure,1970-08-19,Senior
8,63,Female,Simulation,1961-08-08,Senior
9,20,Male,Strategy,2004-06-09,Young_Adult
10,11,Male,Sports,2013-10-27,Child
11,53,Male,Simulation,1971-06-04,Senior
12,34,Male,Adventure,1990-07-30,Adult
13,25,Female,Racing,1999-10-05,Young_Adult
14,39,Female,Shooter,1985-12-20,Middle_Age
15,40,Female,Puzzle,1985-02-04,Middle_Age
16,12,Male,Adventure,2012-11-07,Child
17,27,Female,Sports,1997-07-19,Adult
18,23,Male,Strategy,2002-02-23,Young_Adult
19,10,Female,RPG,2015-04-06,Child
20,41,Male,Puzzle,1984-05-20,Middle_Age
21,51,Male,Simulation,1974-01-08,Senior
22,8,Male,Action,2016-08-26,Child
23,16,Male,Puzzle,2008-06-10,Teen
24,49,Male,Puzzle,1976-04-26,Middle_Age
25,23,Male,Action,2002-02-03,Young_Adult
26,24,Male,Sports,2001-03-04,Young_Adult
27,23,Female,Adventure,2002-04-04,Young_Adult
28,39,Female,Sports,1986-02-06,Middle_Age
29,21,Male,Strategy,2003-08-29,Young_Adult
30,38,Male,Simulation,1986-11-25,Middle_Age
31,19,Male,Strategy,2006-05-26,Young_Adult
32,25,Female,Shooter,1999-06-12,Young_Adult
33,42,Male,Simulation,1982-07-25,Middle_Age
34,53,Female,Sports,1972-02-19,Senior
35,64,Female,Sports,1961-03-19,Senior
36,52,Male,Shooter,1972-06-24,Senior
37,10,Female,Adventure,2014-11-02,Child
38,45,Male,Sports,1979-12-15,Middle_Age
39,14,Female,Shooter,2010-06-11,Teen
40,28,Male,Shooter,1997-05-03,Adult
41,14,Male,Shooter,2011-04-14,Teen
42,61,Female,Sports,1963-06-27,Senior
43,51,Female,Puzzle,1973-11-04,Senior
44,64,Female,RPG,1961-02-21,Senior
45,32,Female,Racing,1992-06-09,Adult
46,28,Male,Racing,1997-05-29,Adult
47,64,Male,Adventure,1960-11-01,Senior
48,21,Male,Strategy,2003-11-02,Young_Adult
49,46,Female,Puzzle,1978-08-16,Middle_Age
50,47,Female,Simulation,1977-10-26,Middle_Age
51,12,Female,Racing,2012-09-16,Child
52,64,Male,RPG,1961-05-18,Senior
53,13,Female,Adventure,2012-05-20,Teen
54,26,Male,Puzzle,1998-10-31,Adult
55,37,Male,Action,1987-09-13,Middle_Age
56,60,Male,RPG,1964-10-14,Senior
57,30,Female,Shooter,1994-11-25,Adult
58,20,Female,Adventure,2005-01-16,Young_Adult
59,30,Female,Sports,1994-11-28,Adult
60,23,Female,Racing,2001-08-30,Young_Adult
61,44,Female,Sports,1981-02-12,Middle_Age
62,14,Female,Sports,2010-06-16,Teen
63,30,Female,RPG,1994-10-08,Adult
64,51,Female,Action,1973-09-17,Senior
65,13,Female,Adventure,2011-08-25,Teen
66,34,Female,Strategy,1991-04-10,Adult
67,42,Female,Adventure,1982-11-07,Middle_Age
68,15,Male,Sports,2009-12-12,Teen
69,27,Female,Shooter,1997-08-12,Adult
70,62,Female,Strategy,1962-07-21,Senior
71,14,Male,Racing,2010-07-01,Teen
72,52,Female,Adventure,1972-12-03,Senior
73,47,Female,Action,1978-02-13,Middle_Age
74,37,Male,Sports,1987-08-03,Middle_Age
75,15,Male,Strategy,2009-08-04,Teen
76,15,Male,Sports,2009-09-16,Teen
77,15,Female,Sports,2009-07-30,Teen
78,52,Male,Sports,1972-07-03,Senior
79,51,Male,Adventure,1973-09-03,Senior
80,61,Male,Simulation,1963-06-19,Senior
81,33,Female,RPG,1992-05-12,Adult
82,56,Male,Adventure,1968-07-18,Senior
83,47,Female,Racing,1978-03-21,Middle_Age
84,10,Female,Racing,2014-09-18,Child
85,8,Male,Sports,2017-05-17,Child
86,33,Female,Adventure,1992-05-25,Adult
87,29,Male,Puzzle,1996-01-19,Adult
88,27,Female,Strategy,1998-05-19,Adult
89,32,Male,Racing,1992-11-04,Adult
90,52,Female,Adventure,1973-04-08,Senior
91,23,Female,RPG,2001-12-18,Young_Adult
92,23,Male,Shooter,2001-06-19,Young_Adult
93,21,Male,Simulation,2004-04-05,Young_Adult
94,38,Female,Strategy,1986-06-09,Middle_Age
95,11,Male,Puzzle,2014-02-07,Child
96,60,Female,Strategy,1964-09-09,Senior
97,13,Male,Adventure,2012-05-15,Teen
98,19,Male,Sports,2006-02-22,Young_Adult
99,39,Female,Action,1985-09-03,Middle_Age
100,42,Female,Strategy,1983-01-08,Middle_Age
101,11,Female,Action,2013-09-09,Child
102,49,Male,Action,1975-09-17,Middle_Age
103,65,Male,Shooter,1960-02-09,Senior
104,26,Male,Action,1999-03-15,Adult
