id,userId,gameId,score,playedAt
score_000001,1,c5aef2a2-68c3-44e8-9ae5-bd1731a6ea78,872,2025-04-26
score_000002,1,0004aab6-96a3-488e-be49-80cac296bb80,824,2025-01-12
score_000003,1,2857aacf-fa4c-4e8a-a86c-a4d524e688e9,732,2025-04-17
score_000004,2,f6fcd7fd-d08d-4dd6-b3fa-7cd16f76e28a,971,2025-03-13
score_000005,2,4123c61e-e083-4dd9-8a85-1f8d9c812098,666,2025-01-02
score_000006,2,0617cc79-1335-4e7f-b93d-f8f477a26484,630,2025-01-12
score_000007,2,d67898be-3fce-4dce-bf3a-30a7547dcca7,903,2024-12-21
score_000008,2,4cb52405-1f79-4a53-b489-be08b57c896c,885,2025-02-14
score_000009,2,f5cb63a6-d39a-413e-b81c-15fa4da1bfe4,722,2024-12-08
score_000010,2,17472303-b74b-46ef-9efb-d301fdf53559,693,2025-03-13
score_000011,3,eaa65c0a-3fa0-43ec-8c47-da8381b5c275,838,2025-02-28
score_000012,3,827ff0b9-cde4-44c7-bb0f-4d431cc820cd,1159,2025-01-27
score_000013,3,3fbfb14e-ddf3-41ea-8995-358b9f57d60b,773,2025-03-18
score_000014,3,aa1d2028-f645-4b30-84a6-be07d1746c99,490,2025-05-28
score_000015,3,e81fbbec-2572-4766-b461-e1f64aed4182,791,2025-03-07
score_000016,3,a9d803ae-10a9-4c5c-a721-365e8e4c3263,603,2025-02-01
score_000017,3,58f0f0e5-bb76-432a-a43e-01232f55e1c8,810,2025-02-09
score_000018,3,79c6b554-3853-4495-812e-f86921d05765,665,2024-12-05
score_000019,3,67e03ace-90b7-4c30-a7a3-a3345e09cb93,226,2025-02-24
score_000020,3,61e104aa-a065-48e4-9935-4c9d0605ac35,631,2024-12-20
score_000021,3,788331ba-d205-474a-8375-6a7ddf4dc318,887,2025-03-12
score_000022,3,e634ad8e-25bc-454d-bf6e-7c183b4c5d0a,1173,2025-02-26
score_000023,3,c2ad8ea0-c30c-4d37-aec0-08c168fbce86,632,2025-03-29
score_000024,4,7682623c-bfb9-456c-b142-861703db5e20,526,2025-01-10
score_000025,4,6e3d0642-a22d-4756-b275-b1682fb2ec1e,742,2025-03-23
score_000026,4,9ef2bfb1-37f2-430a-8bec-438e70a209ee,858,2024-12-08
score_000027,4,6e69cb63-1f6b-48b9-86c9-549e7e873d7d,1025,2025-03-25
score_000028,4,8d961b2c-907b-481f-9d56-1124cd512f19,869,2025-04-30
score_000029,4,b6d2dd35-56a8-42da-837a-3bb4b536b45e,641,2025-01-22
score_000030,4,57a3ba37-6403-42d5-b592-da0b1f3219ad,1023,2025-03-08
score_000031,4,e9874554-d9d9-4d3e-a7d1-b2c3dd18a4ea,996,2025-05-16
score_000032,4,9b322ba8-0682-47c7-9752-28da11bb261a,935,2025-04-19
score_000033,4,3fb70c37-2ff1-410e-8fad-caa707e9ed0a,954,2025-02-10
score_000034,5,46879c48-7632-4c01-acd2-620408284afc,879,2024-12-10
score_000035,5,76c36c67-6998-4a9e-bf6d-2611665bd21a,741,2025-03-18
score_000036,5,3d0fa1f4-bbc1-456c-9db2-08a946df9a5d,626,2025-03-18
score_000037,5,3b18b916-1258-452d-80ce-29c26879911d,636,2024-12-31
score_000038,5,4123c61e-e083-4dd9-8a85-1f8d9c812098,674,2025-04-04
score_000039,5,2f054a85-6e71-44f8-a5e3-512bdc273819,764,2025-01-21
score_000040,5,23ef7e8b-acef-444b-bb45-32c29eb1369c,553,2025-02-19
score_000041,5,cfa76515-793f-4312-88a4-72284b7cad8f,843,2025-04-28
score_000042,6,0fd0df63-570d-4cad-b353-69e3cbacc6a3,380,2025-05-27
score_000043,6,978f53de-eb68-4657-bba0-c3ab56e2e868,902,2025-05-06
score_000044,6,4be95707-4a8b-4855-8eaa-dd988f0e243c,435,2025-02-12
score_000045,6,b576557a-1479-47bf-83db-bd4d461f04c8,1177,2025-05-03
score_000046,6,7d5f6c47-b009-481d-ab5b-d1b5b5581335,1024,2025-05-02
score_000047,6,32066f37-76c7-486a-a32c-4163afaa5d37,1143,2025-03-11
score_000048,6,f5dd55c1-d68c-46ca-95e2-2406655e8be4,728,2025-04-11
score_000049,6,d61357de-7ce4-47c3-b099-69b5dafc5dbf,873,2025-02-05
score_000050,6,c9ffa89c-04d2-43f0-bbbd-458a14e89e2d,686,2025-05-01
score_000051,6,34a043b9-42e1-482a-a541-7b2d11e6ce62,1271,2025-04-05
score_000052,6,aa2bbe26-1a23-454c-b62c-96c75d8a4ac1,772,2024-12-06
score_000053,6,8f3cccea-2e99-408a-b91e-1f17e8c230f2,238,2025-03-14
score_000054,7,39fcfef0-b727-4d08-8537-6164750148c4,925,2025-02-15
score_000055,7,6e3d0642-a22d-4756-b275-b1682fb2ec1e,827,2024-12-18
score_000056,7,a7ba024f-3880-4363-bba5-73ace740f716,839,2025-05-03
score_000057,7,5580a545-f65d-4ad4-94f6-70c129b7ee37,679,2025-03-26
score_000058,7,cc18b17e-e0b8-4bfe-8a91-3e51dad22a9a,807,2024-12-18
score_000059,7,05974a33-8192-407b-b94f-7b56067cd6c4,776,2025-04-23
score_000060,7,e7d4dadd-7b4d-4fa2-a9ca-48c540822493,1262,2025-05-06
score_000061,7,9e59b776-0115-42c0-9469-5f770251094a,839,2025-05-26
score_000062,8,bf9522f4-2679-467f-9ed9-b806c0c921d1,1017,2025-04-03
score_000063,8,1a8584e4-b972-47f5-8991-3bf6bc2b46d5,660,2025-01-23
score_000064,8,421b75c2-7c4f-42ff-b1b0-377cc9693451,769,2025-04-15
score_000065,8,8f06726f-1b73-4af9-a87c-68ba3302f301,414,2024-12-11
score_000066,8,d8517f92-3368-4620-b18c-47965e77a88e,827,2024-12-11
score_000067,8,e8ac2b58-b023-4210-856d-4e69fd992bce,846,2025-02-14
score_000068,8,3eb4e099-ec5b-4549-bd5c-78cf37419947,569,2025-01-11
score_000069,8,550c5636-1ff8-478e-a8d5-afb9158f6b45,828,2024-12-13
score_000070,8,208acdfe-7d32-460f-af24-a3d748e0f3aa,963,2025-03-26
